iter	RMSE
0	190571.4716
1	190528.8354
2	190479.1872
3	190442.4301
4	190406.3626
5	190370.9824
6	190344.949
7	190329.5636
8	190302.0847
9	190287.2428
10	190270.1241
11	190251.5316
12	190236.4073
13	190220.1337
14	190209.7112
15	190201.3677
16	190190.9621
17	190178.0593
18	190167.03
19	190157.0237
20	190137.0354
21	190126.0413
22	190115.3668
23	190110.5646
24	190092.6339
25	190080.7672
26	190069.1671
27	190060.876
28	190052.23
29	190029.4546
30	190020.2451
31	190004.7185
32	189992.9188
33	189977.1024
34	189965.0851
35	189951.6684
36	189943.1812
37	189935.3956
38	189927.5671
39	189916.3315
40	189910.7594
41	189901.5152
42	189889.9459
43	189884.5612
44	189871.8243
45	189868.9518
46	189859.7446
47	189853.4726
48	189845.1813
49	189838.5031
50	189832.5916
51	189825.9715
52	189810.4849
53	189800.262
54	189792.1631
55	189785.426
56	189777.4127
57	189770.4994
58	189757.8066
59	189745.945
60	189740.7238
61	189732.8724
62	189722.281
63	189710.3494
64	189695.8887
65	189691.7831
66	189683.5895
67	189679.4176
68	189673.2086
69	189668.0888
70	189660.036
71	189652.5397
72	189647.2456
73	189640.7957
74	189632.9115
75	189623.3438
76	189614.3408
77	189604.9463
78	189604.1747
79	189597.8413
80	189579.2332
81	189571.4475
82	189563.0125
83	189556.4939
84	189552.556
85	189545.0162
86	189538.7484
87	189532.182
88	189525.4606
89	189518.7669
90	189513.5558
91	189505.2116
92	189500.0919
93	189493.0545
94	189488.3023
95	189483.8897
96	189475.2409
97	189470.7707
98	189463.567
99	189457.7273
100	189443.0508
101	189437.7688
102	189430.5376
103	189422.7744
104	189416.0431
105	189411.2924
106	189408.6027
107	189403.0696
108	189394.7976
109	189389.7684
110	189378.7202
111	189369.6603
112	189362.8407
113	189357.8153
114	189345.4225
115	189337.525
116	189328.6364
117	189324.3495
118	189318.7579
119	189309.972
120	189305.3152
121	189299.8032
122	189292.3449
123	189281.125
124	189272.3771
125	189263.2064
126	189254.2539
127	189244.2536
128	189236.1449
129	189229.0889
130	189222.5495
131	189215.4699
132	189209.7042
133	189200.7953
134	189190.8539
135	189179.9895
136	189171.7013
137	189163.8228
138	189157.4357
139	189147.2348
140	189140.2133
141	189123.926
142	189112.4513
143	189097.8327
144	189086.0611
145	189078.2622
146	189072.7899
147	189057.7291
148	189047.8851
149	189038.6685
150	189031.3318
151	189025.9188
152	189014.7393
153	189005.7984
154	188995.376
155	188989.6988
156	188981.7316
157	188975.3393
158	188964.2741
159	188958.4975
160	188948.3606
161	188937.7676
162	188922.5747
163	188916.902
164	188906.7693
165	188897.1302
166	188888.0311
167	188878.8859
168	188870.9169
169	188860.1005
170	188843.6524
171	188833.1193
172	188821.0798
173	188811.2952
174	188801.7122
175	188792.906
176	188785.0025
177	188770.5
178	188761.739
179	188751.241
180	188741.4835
181	188732.8266
182	188724.8336
183	188715.8385
184	188704.1134
185	188692.043
186	188679.4857
187	188669.6544
188	188662.0261
189	188654.1449
190	188648.0139
191	188638.7896
192	188625.5697
193	188619.2502
194	188614.0672
195	188605.1797
196	188593.9271
197	188587.4338
198	188580.7975
199	188572.8453
200	188560.9415
201	188553.03
202	188548.8842
203	188539.0604
204	188529.585
205	188516.6693
206	188508.6788
207	188501.4108
208	188492.009
209	188486.0158
210	188479.1384
211	188468.5103
212	188458.7598
213	188450.5335
214	188442.5415
215	188433.666
216	188427.0419
217	188417.7836
218	188411.6356
219	188403.287
220	188394.107
221	188386.504
222	188380.1302
223	188370.514
224	188363.3078
225	188354.4254
226	188345.8514
227	188340.9217
228	188332.6217
229	188327.1802
230	188317.3271
231	188309.3064
232	188300.5712
233	188294.2252
234	188287.0533
235	188277.7518
236	188269.2361
237	188264.9001
238	188255.2368
239	188245.9737
240	188237.6229
241	188227.1144
242	188220.9855
243	188213.6125
244	188206.1897
245	188202.574
246	188196.4625
247	188186.4789
248	188176.0484
249	188168.6598
250	188160.3227
251	188151.7872
252	188142.46
253	188133.0037
254	188125.3248
255	188117.1009
256	188109.4296
257	188103.964
258	188095.9279
259	188088.722
260	188079.8621
261	188071.1974
262	188065.249
263	188058.0656
264	188046.2526
265	188038.8497
266	188031.4323
267	188025.4089
268	188016.9509
269	188006.6653
270	188001.3942
271	187994.3675
272	187986.9088
273	187980.0032
274	187972.7566
275	187967.6077
276	187959.5439
277	187948.1783
278	187938.6643
279	187929.4099
280	187921.2518
281	187911.988
282	187903.3403
283	187894.2817
284	187883.8698
285	187877.8738
286	187870.6281
287	187863.0948
288	187856.9539
289	187849.3101
290	187841.0231
291	187830.5316
292	187823.2279
293	187817.1356
294	187808.8035
295	187798.3885
296	187791.5601
297	187784.4245
298	187775.2464
299	187765.1247
300	187758.6108
301	187754.4197
302	187746.2389
303	187740.6036
304	187733.1542
305	187728.2814
306	187722.7101
307	187715.5213
308	187706.4831
309	187701.8008
310	187693.0112
311	187684.3406
312	187676.2943
313	187668.529
314	187661.4559
315	187652.912
316	187644.3473
317	187635.3894
318	187625.4621
319	187619.0803
320	187612.2662
321	187605.3974
322	187595.4372
323	187587.518
324	187579.616
325	187570.3265
326	187565.1002
327	187560.6826
328	187552.3372
329	187544.0606
330	187537.464
331	187528.5939
332	187520.6169
333	187516.3945
334	187508.7502
335	187501.5043
336	187494.3064
337	187486.8351
338	187480.6222
339	187474.1583
340	187468.0204
341	187461.5825
342	187457.4879
343	187453.7131
344	187445.5102
345	187439.8377
346	187435.2904
347	187429.1746
348	187422.5632
349	187416.6827
350	187410.6074
351	187403.28
352	187395.3462
353	187386.4344
354	187379.945
355	187372.8204
356	187366.3108
357	187359.4617
358	187352.3068
359	187346.6991
360	187333.4392
361	187325.1676
362	187314.0426
363	187307.4455
364	187298.4837
365	187292.4691
366	187284.0434
367	187274.335
368	187269.0203
369	187261.8715
370	187256.2526
371	187250.8458
372	187243.7488
373	187234.8372
374	187227.6936
375	187217.3107
376	187209.6262
377	187202.4442
378	187191.6129
379	187187.779
380	187180.3105
381	187170.8646
382	187165.9998
383	187160.0569
384	187155.8142
385	187147.1068
386	187138.8016
387	187132.2368
388	187126.4048
389	187121.2088
