iter	Passed	Remaining
0	7	7020
1	16	8433
2	23	7907
3	34	8594
4	43	8718
5	53	8899
6	62	8880
7	69	8561
8	81	8944
9	89	8861
10	100	9038
11	106	8794
12	117	8928
13	127	8961
14	136	8987
15	147	9052
16	154	8960
17	166	9077
18	177	9179
19	186	9130
20	196	9141
21	208	9283
22	218	9287
23	230	9364
24	238	9314
25	249	9339
26	258	9327
27	268	9311
28	277	9298
29	286	9262
30	297	9286
31	305	9250
32	315	9250
33	325	9260
34	334	9222
35	345	9242
36	354	9232
37	364	9221
38	372	9175
39	382	9175
40	392	9186
41	401	9152
42	411	9162
43	418	9092
44	428	9093
45	440	9138
46	449	9105
47	461	9159
48	471	9155
49	478	9095
50	489	9102
51	496	9048
52	507	9071
53	513	8999
54	526	9038
55	534	9013
56	546	9042
57	557	9061
58	564	9008
59	577	9048
60	585	9016
61	593	8981
62	605	9006
63	616	9019
64	626	9014
65	634	8984
66	642	8947
67	650	8919
68	660	8908
69	679	9022
70	694	9092
71	703	9070
72	713	9060
73	723	9057
74	739	9121
75	751	9135
76	759	9101
77	769	9097
78	777	9059
79	790	9093
80	817	9273
81	831	9312
82	849	9383
83	872	9509
84	894	9631
85	908	9650
86	924	9705
87	938	9729
88	955	9781
89	969	9800
90	979	9780
91	991	9786
92	1003	9786
93	1010	9742
94	1018	9698
95	1030	9707
96	1040	9689
97	1049	9655
98	1058	9630
99	1070	9630
100	1086	9671
101	1104	9725
102	1119	9748
103	1137	9800
104	1150	9808
105	1164	9825
106	1170	9772
107	1184	9783
108	1198	9793
109	1219	9864
110	1234	9886
111	1251	9919
112	1262	9912
113	1277	9929
114	1292	9947
115	1310	9989
116	1327	10018
117	1343	10041
118	1355	10032
119	1365	10011
120	1376	10002
121	1385	9972
122	1400	9982
123	1411	9968
124	1418	9928
125	1428	9906
126	1442	9914
127	1450	9881
128	1462	9872
129	1477	9885
130	1485	9856
131	1495	9831
132	1505	9811
133	1515	9793
134	1525	9777
135	1535	9751
136	1545	9735
137	1555	9717
138	1562	9680
139	1575	9680
140	1585	9657
141	1600	9668
142	1611	9654
143	1621	9636
144	1630	9615
145	1640	9594
146	1654	9599
147	1672	9629
148	1685	9624
149	1694	9604
150	1709	9609
151	1717	9582
152	1730	9578
153	1743	9576
154	1755	9570
155	1765	9550
156	1792	9623
157	1813	9664
158	1827	9668
159	1840	9664
160	1854	9663
161	1872	9688
162	1888	9696
163	1896	9667
164	1908	9656
165	1919	9644
166	1927	9613
167	1936	9590
168	1949	9586
169	1960	9572
170	1976	9582
171	1991	9586
172	2004	9581
173	2010	9545
174	2023	9540
175	2037	9537
176	2045	9512
177	2054	9489
178	2064	9467
179	2074	9452
180	2088	9448
181	2101	9444
182	2113	9433
183	2121	9409
184	2134	9404
185	2145	9387
186	2155	9370
187	2170	9376
